ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Unnamed: 19,Unnamed: 20,select,url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10
B00KNNSKV0,PROZOR,PROZOR 192KHz Digital to Analog Audio Converter DAC Digital SPDIF Optical to Analog L/R RCA Converter Toslink Optical to 3.5mm Jack Adapter for PS3 HD DVD PS4 Amp Apple TV Home Cinema,Electronics,ProsterUS,2.0,FBA,12.99,5.14,,,2,4.0,"3,150",264.0,4.0x6.3x1.2,0.35,Large Standard-Size,6.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B07MPF4F68,Techole,Digital to Analog Audio Converter-192kHz Techole Aluminum Optical to RCA with Optical &Coaxial Cable. Digital SPDIF TOSLINK to Stereo L/R and 3.5mm Jack DAC Converter for PS4 Xbox HDTV DVD Headphone,Electronics,AmSin store,2.0,FBA,14.99,5.53,,,1,4.5,757,136.0,3.6x8.1x1.0,0.25,Large Standard-Size,8.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B01AWBA8U8,Musou,Musou Digital Optical Coax to Analog RCA Audio Converter Adapter with Fiber Cable,Electronics,Musou,1.0,FBA,12.99,5.23,,,4,4.0,"2,056",64.0,4.2x5.8x1.6,0.4,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B01N32C5GT,ROOFULL,"Optical to Coaxial OR Coax to Optical Digital Audio Converter, Bi-Directional Digital SPDIF Toslink Optical to/from Coaxial Digital Audio Signal Adapter/Repeater by ROOFULL",Electronics,ROOFULL Official,1.0,FBA,16.99,6.82,,,5,4.5,556,30.0,4.3x6.4x1.1,0.35,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B073PYN7L5,eSynic,192kHz DAC Converter eSynic Digital to Analog Converter Volume Control Digital Optical Coaxial Toslink to Analog Stereo L/R RCA 3.5mm Audio Adapter for HD DVD Blu-ray PS3 PS4 Apple TV Amps Cinema,Electronics,eSynic-us,2.0,FBA,23.99,6.88,,,8,4.5,540,19.0,4.1x4.1x3.5,0.55,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B01HGHNCMW,Musou,Musou RCA Analog to Digital Optical Toslink Coaxial Audio Converter Adapter with Optical Cable,Electronics,Musou,1.0,FBA,15.99,5.68,,,6,4.0,155,14.0,4.3x5.8x1.7,0.4,Large Standard-Size,6.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B07TXSW43V,Musou,"Analog to Digital Audio Converter,Musou Aluminum R/L RCA 3.5mm AUX to Digital Coaxial Toslink Optical Audio Adapter with Optical Cable",Electronics,Musou,1.0,FBA,17.99,5.98,,,10,4.0,35,6.0,4.3x5.9x1.6,0.42,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B006IPH5H2,Audioengine,"Audioengine D1 24-Bit DAC, Premium Desktop Digital To Analogue Converter and Headphone Amplifier",Electronics,WORLD WIDE STEREO,12.0,FBA,169.00,25.28,,,32,4.0,415,1.0,7.1x10.8x2.5,1.12,Large Standard-Size,5.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B081MZVK64,Techole,Digital to Analog Audio Converter-Upgrade Volume Adjustable Techole Aluminum Optical to RCA with Optical &Coaxial Cable. Digital SPDIF TOSLINK to Stereo L/R &3.5mm Jack DAC Converter for PS4 Xbox DVD,Industrial & Scientific,Repou store,2.0,FBA,17.99,5.35,373.0,"6,706.54","2,271",4.5,18,15.0,3.4x8.2x1.1,0.3,Large Standard-Size,9.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B071WLVXN5,Avantree,"Avantree DAC Digital to Analog Audio Converter with Toslink Optical Cable, Volume Control, 192KHz, SPDIF to Stereo L/R RCA 3.5mm Adapter for PS4 PS3 Xbox HD DVD Home Cinema Systems AV Amps Apple TV",Electronics,AvantreeDirect USA,1.0,FBA,29.99,8.77,,,20,4.5,208,6.0,4.2x4.6x1.7,0.44,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B07L58WMQW,LiNKFOR,LiNKFOR Digital Toslink Optical 2x1 Switch with 6ft Optical Cable and IR Remote Control Aluminum Alloy Digital Audio SPDIF Toslink Optical Fiber Switcher 2 in 1 Out for PS3 Blue-Ray DVD HDTV,Industrial & Scientific,Ulinker Technology Limited,1.0,FBA,18.99,5.33,242.0,"4,593.16","3,131",4.5,57,17.0,6.2x7.5x0.6,0.53,Small Standard-Size,9.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B01DZXWHJA,Wiistar,"Optical SPDIF Toslink/Coaxial Digital to Analog Audio Decoder Converter with PCM, 5.1 Dolby Digital & DTS Support",Electronics,BTS VIDEO,1.0,FBA,23.99,7.87,,,12,4.0,237,1.0,4.2x5.9x2.4,0.4,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B00FEDHHKE,Signstek,Signstek HiFi USB to Coaxial S/PDIF Converter Convert Digital to Analogue Signal Mini USB DAC PCM,Unknown,Global Cyber Mart,1.0,FBA,21.99,6.58,,,15,4.5,270,13.0,5.4x7.6x3.7,0.42,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B0799GXHG8,KUYIA,"Digital Audio to Analog Converter, KUYIA Digital SPDIF Optical Coaxial to Analog 3.5mm RCA L/R Audio Converter Adapter with Toslink Cable for PS3 PS4 XBox Blu Ray DVD HDTV (Black)",Electronics,KUYiA,1.0,FBA,13.49,5.3,,,11,4.0,31,4.0,4.6x6.5x1.9,0.56,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
B00ATNWBZU,Portta,Portta Audio Converter Analog R/L RCA to Digital Coax/ Toslink Audio Converter Support Stereo LPCM CH2.0 without Decode Function for PS3 XBox HD DVD PS4 Sky HD Plasma Blu-ray Amps Apple TV,Electronics,Amazon,3.0,AMZ,12.55,5.07,,,10,4.0,535,8.0,4.3x6.7x2.0,0.31,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A%2116225009011%2Cn%3A281407%2Cn%3A3236443011%2Cn%3A3224445011&dc&_encoding=UTF8&qid=1572118021&rnid=3236443011&ref=sr_nr_n_2,'Accessories & Supplies','Home Audio Accessories','Digital-to-Analog Converters',,,,,,,
